Country,Site,Scenario,Period,CDD (days),CWD (days),FD (days/yr),R95p (mm/yr),Rx1day (mm),Rx5day (mm),SDII (mm/wetday),SU (days/yr),TNn (degC),TR (days/yr),TXx (degC),WBGT (degC),WSDI (days/yr)
Korea,Pohang Plant,SSP2-4.5,2070s,23.3,5.2,3.0,413.6,43.57,72.06,14.7,49.2,8.82,75.7,20.85,14.99,50.5
Korea,Pohang Plant,SSP2-4.5,2080s,29.4,5.7,2.5,479.04,47.57,77.89,15.87,60.3,9.11,83.0,21.33,15.39,62.5
Korea,Pohang Plant,SSP2-4.5,2090s,23.6,5.7,3.6,449.73,44.86,69.97,13.97,54.6,9.43,77.9,21.08,15.16,57.0
Korea,Pohang Plant,SSP5-8.5,2020s,22.4,7.0,16.2,389.78,44.76,70.96,14.18,11.9,6.87,38.5,19.12,13.15,11.0
Korea,Pohang Plant,SSP5-8.5,2030s,27.2,5.7,9.2,386.84,41.36,71.63,14.13,21.7,7.55,49.3,19.74,13.68,19.0
Korea,Pohang Plant,SSP5-8.5,2040s,27.6,6.5,4.3,532.92,46.66,75.59,15.45,25.8,8.53,57.1,20.3,14.41,26.3
Korea,Pohang Plant,SSP5-8.5,2050s,27.2,5.8,4.2,556.96,48.64,80.63,15.63,49.0,9.11,76.4,21.23,15.15,44.6
Korea,Pohang Plant,SSP5-8.5,2060s,27.2,6.9,3.6,642.26,51.32,85.71,17.59,64.6,9.62,87.3,21.47,15.62,64.2
Korea,Pohang Plant,SSP5-8.5,2070s,25.1,6.4,0.8,565.04,50.88,83.26,16.82,87.8,10.46,103.7,22.31,16.35,81.1
Korea,Pohang Plant,SSP5-8.5,2080s,31.2,6.4,0.3,689.52,55.43,91.09,17.81,105.5,11.55,123.5,23.48,17.29,98.2
Korea,Pohang Plant,SSP5-8.5,2090s,28.6,7.6,0.0,832.58,62.07,101.06,19.1,121.5,12.15,138.7,24.12,18.1,113.6
Korea,R&D Seongnam,SSP2-4.5,2020s,29.1,4.5,25.1,227.24,30.74,48.13,11.11,0.0,5.52,4.7,16.26,11.09,8.8
Korea,R&D Seongnam,SSP2-4.5,2030s,31.7,5.3,19.3,299.66,33.65,56.54,11.76,0.1,6.25,9.3,16.98,11.78,21.6
Korea,R&D Seongnam,SSP2-4.5,2040s,28.4,6.2,11.1,386.65,37.12,57.92,13.55,0.1,6.97,18.5,17.41,12.32,31.0
Korea,R&D Seongnam,SSP2-4.5,2050s,28.3,5.3,8.0,441.04,43.36,62.71,14.0,2.9,7.64,39.2,18.12,13.04,50.9
Korea,R&D Seongnam,SSP2-4.5,2060s,32.0,5.2,11.0,406.9,35.84,59.34,13.4,2.6,7.75,43.3,18.24,13.06,55.1
